task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
81	f0/73f4ec	349238	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (59_M)	COMPLETED	0	2026-07-01 09:59:32.404	7m 50s	7m 42s	526.0%	8.2 GB	52.3 GB	127 GB	1.1 GB
88	91/d993db	349243	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (36_M)	COMPLETED	0	2026-07-01 10:06:57.504	10m 45s	10m 22s	251.4%	7.8 GB	55.6 GB	51.1 GB	1 GB
87	9c/2cde89	349245	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (9_T)	COMPLETED	0	2026-07-01 10:07:22.411	10m 50s	10m 37s	267.3%	6.5 GB	38.1 GB	69.4 GB	1 GB
85	9e/f0e012	349244	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (73_T)	COMPLETED	0	2026-07-01 10:07:12.437	11m 30s	11m 19s	273.1%	6.3 GB	39.5 GB	85.1 GB	1.1 GB
86	55/cf6235	349242	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (45_T)	COMPLETED	0	2026-07-01 10:05:27.422	14m 25s	14m 13s	365.1%	6.7 GB	40.4 GB	167.1 GB	1.2 GB
89	71/8d2110	349247	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (57_T)	COMPLETED	0	2026-07-01 10:17:42.918	6m 49s	6m 35s	316.7%	9.1 GB	66 GB	32.9 GB	1013.2 MB
84	12/c065b2	349241	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (76_T)	COMPLETED	0	2026-07-01 10:03:57.393	28m	27m 51s	276.6%	9.9 GB	66.2 GB	224.2 GB	1.2 GB
90	e4/8817ac	349248	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (86_T)	COMPLETED	0	2026-07-01 10:18:12.495	20m	19m 46s	305.8%	6.1 GB	43.9 GB	167.1 GB	1.2 GB
93	b1/4f60ba	349251	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (27_T)	COMPLETED	0	2026-07-01 10:24:33.606	14m 24s	13m 49s	304.6%	8.1 GB	48.5 GB	96.6 GB	1.1 GB
94	66/f71291	349252	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (6_T)	COMPLETED	0	2026-07-01 10:31:58.177	7m 34s	7m 5s	339.5%	6.3 GB	42.2 GB	40.2 GB	1 GB
91	3d/dd7d4a	349249	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (83_M)	COMPLETED	0	2026-07-01 10:18:42.507	22m	21m 48s	310.8%	6.6 GB	36.4 GB	205 GB	1.2 GB
92	d7/72aa06	349250	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (86_M)	COMPLETED	0	2026-07-01 10:19:52.486	25m 40s	25m 30s	323.8%	6.3 GB	38.1 GB	264.1 GB	1.2 GB
99	ea/df67dc	349256	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (40_M)	COMPLETED	0	2026-07-01 10:40:42.576	4m 50s	4m 40s	503.2%	10.2 GB	82.5 GB	38.1 GB	1 GB
98	83/6a9a09	349255	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (18_M)	COMPLETED	0	2026-07-01 10:39:32.621	6m 30s	6m 15s	546.8%	7.5 GB	44.2 GB	78.6 GB	1 GB
102	42/32a04e	349259	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (52_T)	COMPLETED	0	2026-07-01 10:46:02.575	12m 30s	12m 21s	293.0%	5.2 GB	37.6 GB	58.9 GB	1.1 GB
100	9b/7234ba	349257	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (88_M)	COMPLETED	0	2026-07-01 10:45:32.560	21m 40s	21m 31s	295.2%	6.7 GB	40 GB	179.6 GB	1.2 GB
101	16/cf77e4	349260	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (2_T)	COMPLETED	0	2026-07-01 10:58:32.619	8m 45s	8m 34s	240.9%	7.6 GB	49.2 GB	38.9 GB	1 GB
103	80/3e799c	349262	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (46_M)	COMPLETED	0	2026-07-01 11:07:17.673	9m 50s	9m 36s	195.0%	6 GB	44.3 GB	35.7 GB	1 GB
96	da/205c3f	349254	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (75_T)	COMPLETED	0	2026-07-01 10:38:57.863	39m 55s	39m 45s	306.4%	6.3 GB	36.5 GB	308.8 GB	1.3 GB
107	07/c682c0	349264	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (59_T)	COMPLETED	0	2026-07-01 11:18:52.732	7m 25s	7m 15s	490.6%	9.1 GB	58 GB	91.7 GB	1.1 GB
95	7e/15b689	349253	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (64_M)	COMPLETED	0	2026-07-01 10:38:13.114	51m 4s	50m 49s	467.8%	7.4 GB	50.9 GB	644.4 GB	1.7 GB
106	4a/348aab	349271	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (36_T)	COMPLETED	0	2026-07-01 11:26:17.796	3m 50s	3m 39s	552.2%	9.6 GB	81.5 GB	37.3 GB	1013.5 MB
105	82/b82b65	349263	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (66_T)	COMPLETED	0	2026-07-01 11:17:09.008	14m 34s	14m 21s	518.8%	8.8 GB	60 GB	186.4 GB	1.2 GB
104	62/cc300c	349261	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (27_M)	COMPLETED	0	2026-07-01 11:07:12.683	27m 25s	27m 15s	541.5%	7.5 GB	47.7 GB	424.2 GB	1.5 GB
108	5c/553a3b	349274	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (82_T)	COMPLETED	0	2026-07-01 11:29:17.778	5m 20s	5m 14s	610.9%	7.9 GB	50 GB	75.1 GB	1 GB
109	41/974b56	349276	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (73_M)	COMPLETED	0	2026-07-01 11:30:07.782	5m	4m 54s	572.8%	6.3 GB	39.1 GB	54.5 GB	1.1 GB
110	81/861f33	349277	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (18_T)	COMPLETED	0	2026-07-01 11:31:42.782	3m 45s	3m 38s	530.6%	9.8 GB	68.4 GB	32.8 GB	1008 MB
111	f1/51f869	349278	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (11_M)	COMPLETED	0	2026-07-01 11:34:37.796	6m 26s	6m 16s	520.1%	8.3 GB	49.5 GB	88.4 GB	1.1 GB
112	dd/10106d	349279	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (17_M)	COMPLETED	0	2026-07-01 11:34:37.963	7m 5s	6m 56s	447.8%	6.1 GB	36 GB	74.8 GB	1.1 GB
114	5e/ef7cc8	349280	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (26_M)	COMPLETED	0	2026-07-01 11:35:07.779	6m 50s	6m 43s	481.4%	6.8 GB	43.5 GB	74 GB	1.1 GB
97	13/c090c4	349258	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (45_M)	COMPLETED	0	2026-07-01 10:45:32.701	1h 6m 30s	1h 6m 19s	588.1%	11 GB	69.9 GB	1.2 TB	2.6 GB
113	57/e14c8f	349282	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (46_T)	COMPLETED	0	2026-07-01 11:41:04.583	11m 23s	11m 5s	371.7%	7.5 GB	53 GB	110 GB	1.1 GB
115	00/990d0b	349281	NF_PVACSEQ:PVACSEQ_PIPELINE:PVACTOOLS_PVACSEQ (76_M)	COMPLETED	0	2026-07-01 11:35:27.772	29m	28m 48s	651.1%	7.1 GB	41.4 GB	579.6 GB	1.6 GB
116	75/d74143	349283	NF_PVACSEQ:PVACSEQ_PIPELINE:MULTIQC	COMPLETED	0	2026-07-01 12:04:28.472	1m 14s	51.5s	11.5%	1.1 GB	11.6 GB	91.3 MB	27 MB
